time,conchcho
2000-01-15,
2000-02-15,
2000-03-15,
2000-04-15,
2000-05-15,
2000-06-15,
2000-07-15,
2000-08-15,
2000-09-15,
2000-10-15,
2000-11-15,
2000-12-15,
2001-01-15,
2001-02-15,
2001-03-15,
2001-04-15,
2001-05-15,
2001-06-15,
2001-07-15,
2001-08-15,
2001-09-15,
2001-10-15,
2001-11-15,
2001-12-15,
2002-01-15,
2002-02-15,
2002-03-15,5.151
2002-04-15,
2002-05-15,
2002-06-15,4.1145
2002-07-15,3.2668
2002-08-15,1.68025
2002-09-15,2.158
2002-10-15,1.7137999999999998
2002-11-15,5.70025
2002-12-15,3.98225
2003-01-15,4.4695
2003-02-15,3.83
2003-03-15,1.67
2003-04-15,1.67775
2003-05-15,1.0985
2003-06-15,1.723
2003-07-15,1.6075000000000002
2003-08-15,3.6075
2003-09-15,2.1431999999999998
2003-10-15,0.96225
2003-11-15,0.94175
2003-12-15,1.0246000000000002
2004-01-15,1.12775
2004-02-15,1.2707499999999998
2004-03-15,1.5284
2004-04-15,1.3085
2004-05-15,1.1847999999999999
2004-06-15,2.125
2004-07-15,2.4487500000000004
2004-08-15,1.303
2004-09-15,2.0295
2004-10-15,0.98925
2004-11-15,0.968
2004-12-15,1.35125
2005-01-15,0.8141999999999999
2005-02-15,1.23
2005-03-15,1.2435
2005-04-15,0.89625
2005-05-15,1.4556
2005-06-15,1.9347500000000002
2005-07-15,2.2445999999999997
2005-08-15,2.56775
2005-09-15,1.6567499999999997
2005-10-15,1.2218
2005-11-15,0.9945
2005-12-15,0.9437500000000001
2006-01-15,1.7967499999999998
2006-02-15,1.7286666666666666
2006-03-15,1.0666666666666667
2006-04-15,1.28525
2006-05-15,1.0848
2006-06-15,1.4036666666666668
2006-07-15,2.7375
2006-08-15,1.2750000000000001
2006-09-15,1.8405
2006-10-15,1.0244
2006-11-15,1.0017500000000001
2006-12-15,0.6765
2007-01-15,0.9056
2007-02-15,1.35775
2007-03-15,2.44
2007-04-15,2.06075
2007-05-15,1.076
2007-06-15,1.8092499999999998
2007-07-15,1.3516
2007-08-15,1.7832499999999998
2007-09-15,1.0614000000000001
2007-10-15,1.6595
2007-11-15,1.047
2007-12-15,1.2466
2008-01-15,1.34775
2008-02-15,0.9934999999999999
2008-03-15,0.703
2008-04-15,2.375
2008-05-15,1.6323999999999999
2008-06-15,3.4002499999999998
2008-07-15,1.41125
2008-08-15,1.1252
2008-09-15,1.411
2008-10-15,0.94675
2008-11-15,1.43125
2008-12-15,1.5430000000000001
2009-01-15,1.4062000000000001
2009-02-15,0.89475
2009-03-15,1.0795
2009-04-15,1.1179999999999999
2009-05-15,1.14075
2009-06-15,2.23575
2009-07-15,1.9652
2009-08-15,1.8825
2009-09-15,2.8649999999999998
2009-10-15,1.7136
2009-11-15,0.9346666666666664
2009-12-15,0.8575
2010-01-15,1.345
2010-02-15,1.2005
2010-03-15,1.2355
2010-04-15,1.6649999999999998
2010-05-15,1.3090000000000002
2010-06-15,3.08
2010-07-15,2.6712
2010-08-15,1.45725
2010-09-15,2.1024
2010-10-15,1.3925
2010-11-15,1.38375
2010-12-15,1.0964
2011-01-15,0.99275
2011-02-15,0.69825
2011-03-15,1.093
2011-04-15,1.7163333333333333
2011-05-15,1.3367499999999999
2011-06-15,1.4993333333333334
2011-07-15,2.4125
2011-08-15,1.6205
2011-09-15,1.4576
2011-10-15,1.0462500000000001
2011-11-15,0.789
2011-12-15,0.3753333333333333
2012-01-15,0.9608000000000001
2012-02-15,1.617
2012-03-15,1.4076250000000001
2012-04-15,0.7237500000000001
2012-05-15,1.4343333333333332
2012-06-15,1.3097500000000002
2012-07-15,1.6986666666666668
2012-08-15,1.867888888888889
2012-09-15,1.6103333333333334
2012-10-15,0.7468888888888889
2012-11-15,0.867625
2012-12-15,1.1034
2013-01-15,0.7821111111111111
2013-02-15,0.8725714285714286
2013-03-15,1.1004444444444443
2013-04-15,1.0045
2013-05-15,0.874625
2013-06-15,1.2352500000000002
2013-07-15,2.6213333333333333
2013-08-15,1.8622499999999997
2013-09-15,2.387
2013-10-15,0.9734444444444443
2013-11-15,0.7976249999999999
2013-12-15,1.1315555555555554
2014-01-15,0.4728888888888889
2014-02-15,0.79875
2014-03-15,1.39975
2014-04-15,1.1114444444444445
2014-05-15,1.194125
2014-06-15,1.6274444444444442
2014-07-15,2.2581111111111114
2014-08-15,1.3058571428571428
2014-09-15,2.104375
2014-10-15,1.0140000000000002
2014-11-15,0.70475
2014-12-15,0.6926
2015-01-15,0.527875
2015-02-15,0.928
2015-03-15,1.2834444444444444
2015-04-15,1.2231111111111108
2015-05-15,1.205142857142857
2015-06-15,2.0275
2015-07-15,
2015-08-15,
2015-09-15,1.1915
2015-10-15,1.1898000000000002
2015-11-15,0.669
2015-12-15,0.8455555555555555
2016-01-15,0.5363749999999999
2016-02-15,0.8959999999999999
2016-03-15,1.0866
2016-04-15,0.8002500000000001
2016-05-15,1.2733333333333332
2016-06-15,1.4755555555555557
2016-07-15,2.1037777777777773
2016-08-15,2.479375
2016-09-15,1.9957777777777777
2016-10-15,1.1937777777777778
2016-11-15,0.788875
2016-12-15,0.8046249999999999
2017-01-15,
2017-02-15,
2017-03-15,
2017-04-15,
2017-05-15,
2017-06-15,
2017-07-15,
2017-08-15,
2017-09-15,
2017-10-15,
2017-11-15,
2017-12-15,0.3495
2018-01-15,0.7885
2018-02-15,0.8635
2018-03-15,0.585
2018-04-15,1.238
2018-05-15,0.95775
2018-06-15,1.45425
2018-07-15,2.2808
2018-08-15,1.7522499999999999
2018-09-15,1.402
2018-10-15,1.4356666666666669
2018-11-15,1.0006666666666668
2018-12-15,0.82525
2019-01-15,
2019-02-15,
2019-03-15,
2019-04-15,
2019-05-15,
2019-06-15,
2019-07-15,
2019-08-15,
2019-09-15,
2019-10-15,
2019-11-15,
2019-12-15,
